pair_id,word_a,word_b,first_subtoken_id_a,first_subtoken_id_b,first_subtoken_text_a,first_subtoken_text_b,token_count_a,token_count_b,logit_gap_A_colon
pair0,dusbriteir,kresplavim,22032,130977,dus,kres,3,3,0.1328125
pair1,zorpronlam,grunvarbeim,40419,204969,zor,grun,3,3,0.42578125
pair2,girlatrei,sonsaprom,3294,18084,gir,sons,3,3,0.390625
pair3,prorfasmut,steinmulte,124587,119200,pror,stein,3,3,0.375
pair4,brairaisgor,nirfaigum,2984,114179,bra,nir,4,4,0.47265625
pair5,prinmaiprur,slaitroder,2711,8356,prin,sla,4,4,0.0234375
pair6,meisleirret,ganlairlis,104919,9194,meis,gan,4,4,0.3857421875
pair7,spogrekun,narzerpru,4431,11733,spo,nar,3,3,0.4765625
pair8,ruflabrim,tasgrunlout,105057,14281,ruf,tas,4,4,0.046875
pair9,vilflardim,kreilboufei,14108,26965,vil,kre,4,4,0.4296875
pair10,bresfirlain,telurkreit,198573,82532,bres,telur,3,3,0.2109375
pair11,nasnailbril,florposbrer,7863,10674,nas,flor,4,4,0.3359375
pair12,prolfeitre,stiszostrum,656,1541,pro,sti,4,4,0.4375
pair13,pranlilfur,lurworweim,53424,67618,pran,lur,4,4,0.0107421875
pair14,bolvonwai,fuslalspur,10422,38663,bol,fus,3,3,0.26171875
pair15,mongelpreir,sousnoltour,46588,13052,mong,sous,4,4,0.390625
pair16,giltrasaim,binnouspet,62222,8881,gil,bin,4,4,0.171875
pair17,kirplesrut,fouzenkrut,25235,27669,kir,fou,3,3,0.046875
pair18,zeselbreim,dameirgrein,98448,51729,zes,dame,4,4,0.3671875
pair19,vadulfaim,marweilslok,32757,1766,vad,mar,4,4,0.140625
pair20,gainfusnein,troutadot,6055,5073,gain,trou,3,3,0.48828125
pair21,kresleisle,trilbairwol,130977,224931,kres,tril,3,3,0.16796875
pair22,sloldogrut,tougrerstes,8215,3487,slo,tou,4,4,0.2265625
pair23,preilbiflut,dinmairprou,953,5540,pre,din,4,4,0.203125
pair24,kelneislet,fonsourzoum,14224,205910,kel,fons,4,4,0.048828125
pair25,tesgedor,noussanfour,9881,8389,tes,nou,3,3,0.296875
pair26,morstounlel,tronbrairle,2953,48984,mor,tron,4,4,0.2890625
pair27,lourelrer,pairresbal,12999,8537,lou,pair,3,3,0.4609375
pair28,sistreiszas,bosstolmit,85114,16866,sist,bos,3,3,0.142578125
pair29,durbraitrut,zounspasit,6374,31494,dur,zou,4,4,0.03125
pair30,brelbarstil,dalprorkis,2220,4068,bre,dal,4,4,0.40625
pair31,granbensler,wussporprot,3485,134784,gran,wus,3,3,0.25390625
pair32,gelturpeit,sousralkra,148552,13052,gelt,sous,4,4,0.46875
pair33,noflaisplus,brunbrosne,132911,49958,nof,brun,3,3,0.2236328125
pair34,brainnaisei,misraispei,9494,2586,brain,mis,3,3,0.453125
pair35,preilkessum,flelgalfik,953,9506,pre,fle,4,4,0.21875
pair36,sligrailkis,fulgreiplas,8872,13365,sli,ful,4,4,0.078125
pair37,treilfourgu,volslenslou,2521,2511,tre,vol,4,4,0.3203125
pair38,lusleirkait,vesfusspein,48083,9076,lus,ves,4,4,0.296875
pair39,masturspaim,zisspukras,43865,175079,mast,zis,4,4,0.1640625
pair40,tespasprok,finroulwas,9881,1228,tes,fin,4,4,0.203125
pair41,zinnainnaik,papailploum,67923,33262,zin,papa,4,4,0.35546875
pair42,sustroulpo,durmerkreim,33203,6374,sust,dur,4,4,0.1953125
pair43,prinvaisfar,destreinbok,2711,13016,prin,dest,3,3,0.46875
pair44,genlursteil,prailplarfi,3157,2349,gen,pra,4,4,0.171875
pair45,masvaisroun,valfontror,2927,1119,mas,val,4,4,0.0703125
pair46,fantakrat,busstospak,5683,1986,fan,bus,3,3,0.23828125
