trial_id,layer,head,clean_target_logit,patched_target_logit,delta_target_logit
P101_10027,0,0,13.625,13.625,0.0
P101_10027,0,1,13.625,13.625,0.0
P101_10027,0,2,13.625,13.625,0.0
P101_10027,0,3,13.625,13.625,0.0
P101_10027,0,4,13.625,13.625,0.0
P101_10027,0,5,13.625,13.625,0.0
P101_10027,0,6,13.625,13.625,0.0
P101_10027,0,7,13.625,13.625,0.0
P101_10027,0,8,13.625,13.625,0.0
P101_10027,0,9,13.625,13.625,0.0
P101_10027,0,10,13.625,13.625,0.0
P101_10027,0,11,13.625,13.625,0.0
P101_10027,0,12,13.625,13.625,0.0
P101_10027,0,13,13.625,13.625,0.0
P101_10027,0,14,13.625,13.625,0.0
P101_10027,0,15,13.625,13.625,0.0
P101_10027,1,0,13.625,13.625,0.0
P101_10027,1,1,13.625,13.625,0.0
P101_10027,1,2,13.625,13.9375,0.3125
P101_10027,1,3,13.625,13.625,0.0
P101_10027,1,4,13.625,13.6875,0.0625
P101_10027,1,5,13.625,13.625,0.0
P101_10027,1,6,13.625,13.625,0.0
P101_10027,1,7,13.625,13.625,0.0
P101_10027,1,8,13.625,13.625,0.0
P101_10027,1,9,13.625,13.625,0.0
P101_10027,1,10,13.625,13.625,0.0
P101_10027,1,11,13.625,13.625,0.0
P101_10027,1,12,13.625,13.625,0.0
P101_10027,1,13,13.625,13.625,0.0
P101_10027,1,14,13.625,13.625,0.0
P101_10027,1,15,13.625,13.625,0.0
P101_10027,2,0,13.625,13.8125,0.1875
P101_10027,2,1,13.625,13.625,0.0
P101_10027,2,2,13.625,13.625,0.0
P101_10027,2,3,13.625,13.625,0.0
P101_10027,2,4,13.625,13.625,0.0
P101_10027,2,5,13.625,13.625,0.0
P101_10027,2,6,13.625,13.625,0.0
P101_10027,2,7,13.625,13.625,0.0
P101_10027,2,8,13.625,13.625,0.0
P101_10027,2,9,13.625,13.5625,-0.0625
P101_10027,2,10,13.625,13.625,0.0
P101_10027,2,11,13.625,13.625,0.0
P101_10027,2,12,13.625,13.625,0.0
P101_10027,2,13,13.625,13.625,0.0
P101_10027,2,14,13.625,13.625,0.0
P101_10027,2,15,13.625,13.625,0.0
P101_10027,3,0,13.625,13.625,0.0
P101_10027,3,1,13.625,13.625,0.0
P101_10027,3,2,13.625,13.625,0.0
P101_10027,3,3,13.625,13.625,0.0
P101_10027,3,4,13.625,13.625,0.0
P101_10027,3,5,13.625,13.625,0.0
P101_10027,3,6,13.625,13.625,0.0
