trial_id,relation,subject,target,competitor,target_id,competitor_id,argmax_id,argmax_token,target_rank,target_logit,competitor_logit,margin,is_top1,is_top5
P101_10027,P101,Boris Delaunay,geometry,physics,24776,23099,52991, computational,130,13.625,13.875,-0.25,False,False
P101_10066,P101,Carl Hovland,psychology,physics,33154,23099,3836, known,75,13.3125,6.0,7.3125,False,False
P103_0,P103,Danielle Darrieux,French,Russian,6987,11200,6987, French,1,18.125,8.5625,9.5625,True,True
P103_10038,P103,Alfred Capus,French,Russian,6987,11200,6987, French,1,18.875,13.4375,5.4375,True,True
P106_10026,P106,Henry Maudsley,psychiatrist,actor,102286,14250,9763, listed,183,12.875,10.9375,1.9375,False,False
P106_10076,P106,Georgina Leonidas,actor,politician,14250,43504,25710, actress,2,17.875,3.953125,13.921875,False,True
P108_10032,P108,Guido van Rossum,Google,BBC,6238,21411,6238, Google,2,18.125,7.25,10.875,False,True
P108_10064,P108,Krishna Bharat,Google,BBC,6238,21411,6238, Google,1,20.0,8.8125,11.1875,True,True
P127_10,P127,BBC One,BBC,Google,21411,6238,573, the,11,16.375,10.75,5.625,False,False
P127_10040,P127,Cognos,IBM,Google,34522,6238,235269,",",2,17.5,7.6875,9.8125,False,True
P1303_10011,P1303,Marvin Stamm,trumpet,piano,69662,16748,69662, trumpet,1,20.375,16.5,3.875,True,True
P1303_10017,P1303,Herbert Fryer,piano,guitar,16748,14673,476, a,18,13.625,12.75,0.875,False,False
P131_10018,P131,Schwules Museum,Berlin,Pennsylvania,12514,18418,476, a,2,17.375,3.046875,14.328125,False,True
P131_10045,P131,Neighborhoods in Detroit,Detroit,Pennsylvania,24070,18418,476, a,30,14.4375,7.75,6.6875,False,False
P136_10043,P136,Mark Bucci,opera,jazz,26294,29169,476, a,285,11.375,14.5625,-3.1875,False,False
P136_10065,P136,Alexander O'Neal,funk,jazz,28201,29169,573, the,429,11.375,14.9375,-3.5625,False,False
P138_10042,P138,Beijing Capital International Airport,Beijing,Victoria,33395,18221,573, the,3,16.125,6.53125,9.59375,False,True
P138_1009,P138,HMAS Sydney,Sydney,Victoria,20816,18221,573, the,3,15.8125,10.3125,5.5,False,True
P140_1,P140,Edwin of Northumbria,Christianity,Islam,32136,21462,98177, debated,13,15.6875,12.25,3.4375,False,False
P140_100,P140,Jahangir,Islam,Christianity,21462,32136,21462, Islam,1,18.375,12.0,6.375,True,True
P1412_10009,P1412,Lin Huiyin,Chinese,English,8974,4645,576, of,121,3.921875,2.90625,1.015625,False,False
P1412_10036,P1412,Dominique Perben,French,English,6987,4645,780, not,735,10.75,7.40625,3.34375,False,False
P159_1001,P159,Physikalisch-Technische Bundesanstalt,Brunswick,London,56857,5282,148808, Braunschweig,6,15.5625,5.65625,9.90625,False,False
P159_10015,P159,GIC Private Limited,Singapore,London,19445,5282,19445, Singapore,1,18.875,12.25,6.625,True,True
P17_10005,P17,New Era University,Philippines,India,26062,5339,573, the,28,12.625,8.0625,4.5625,False,False
P17_10034,P17,Kojur District,Iran,India,16826,5339,573, the,158,10.5,11.4375,-0.9375,False,False
P176_10014,P176,Honda CB550,Honda,Toyota,28891,30264,28891, Honda,1,19.125,6.78125,12.34375,True,True
P176_10044,P176,Toyota Mark II,Toyota,Honda,30264,28891,30264, Toyota,1,17.875,8.8125,9.0625,True,True
P178_10019,P178,Google Account,Google,Microsoft,6238,8057,6238, Google,1,17.875,9.375,8.5,True,True
P178_10020,P178,NTLDR,Microsoft,Apple,8057,9865,8057, Microsoft,1,18.125,10.75,7.375,True,True
P19_1002,P19,Michel Brault,Montreal,London,34950,5282,235248, ,2,18.75,11.375,7.375,False,True
P19_10031,P19,Masako Natsume,Tokyo,London,22099,5282,476, a,5,14.875,9.125,5.75,False,True
P190_10000,P190,Cincinnati,Munich,Istanbul,40218,56054,3836, known,5041,6.78125,7.0,-0.21875,False,False
P190_10006,P190,Athens,Kiev,Istanbul,77441,56054,780, not,1298,9.125,11.6875,-2.5625,False,False
P20_10007,P20,Sa'd al-Dawla,Aleppo,London,172002,5282,235248, ,5,14.5625,7.625,6.9375,False,True
P20_1008,P20,Greer Lankton,Chicago,London,10147,5282,1070, her,7,17.0,17.875,-0.875,False,False
P264_1000,P264,Purple Hearts,Sunshine,Brunswick,65894,56857,3648, looking,1185,10.8125,5.625,5.1875,False,False
P264_10597,P264,Meredith Andrews,Word,Brunswick,10455,56857,1070, her,10,17.875,9.4375,8.4375,False,False
P27_10002,P27,Colmar Freiherr von der Goltz,Germany,Canada,9066,6591,9066, Germany,1,19.375,9.6875,9.6875,True,True
P27_10008,P27,Paolo Martin,Italy,Canada,11474,6591,11474, Italy,1,19.25,15.25,4.0,True,True
P276_10021,P276,Jay Treaty,London,Melbourne,5282,28249,573, the,269,10.9375,4.9375,6.0,False,False
P276_10062,P276,Chelyabinsk meteor,Russia,London,11124,5282,575, in,3,18.25,1.1328125,17.1171875,False,True
P30_10003,P30,Liard Island,Antarctica,Europe,100352,4238,573, the,1093,8.1875,8.0625,0.125,False,False
P30_10028,P30,Whillans Ice Stream,Antarctica,Europe,100352,4238,100352, Antarctica,1,19.25,9.9375,9.3125,True,True
P36_10035,P36,Saxony,Dresden,Paris,65841,7127,5231, **,2,18.125,3.40625,14.71875,False,True
P36_10369,P36,Second French Empire,Paris,Prague,7127,54668,7127, Paris,1,19.125,9.1875,9.9375,True,True
P364_10013,P364,Conjunctions,English,French,4645,6987,4645, English,1,18.25,16.25,2.0,True,True
P364_10039,P364,Rasigan,Tamil,English,45686,4645,476, a,397,10.0625,10.125,-0.0625,False,False
P37_10078,P37,Papua New Guinea,English,Finnish,4645,66875,10296, Tok,2,18.625,3.484375,15.140625,False,True
P37_10134,P37,Zimbabwe,English,Finnish,4645,66875,17022, primarily,2,17.875,3.84375,14.03125,False,True
P39_10010,P39,Maximianus of Ravenna,bishop,pope,50322,74637,5774, figure,32,16.5,11.5,5.0,False,False
P39_10025,P39,Bernard Tissier de Mallerais,bishop,pope,50322,74637,23425, Bishop,3,19.75,14.25,5.5,False,True
P407_10033,P407,Vogue Italia,Italian,French,12710,6987,2593, always,24,15.5625,12.5,3.0625,False,False
P407_10082,P407,I Got a Boy,Korean,French,23592,6987,476, a,11,16.75,11.5625,5.1875,False,False
P413_10029,P413,Don Meredith,quarterback,midfielder,50937,62330,576, of,3,11.625,4.40625,7.21875,False,True
P413_1006,P413,Jonathan Goff,linebacker,midfielder,122284,62330,5231, **,7,16.75,15.25,1.5,False,False
P449_10023,P449,Whew!,CBS,NBC,44132,46814,235248, ,373,10.8125,10.5625,0.25,False,False
P449_10104,P449,Dough Re Mi,NBC,CBS,46814,44132,21004, Netflix,36,16.125,15.6875,0.4375,False,False
P463_10050,P463,Football Association of Zambia,FIFA,NATO,37623,40552,109789, Confederation,3,19.875,7.15625,12.71875,False,True
P463_10121,P463,Tajikistan National Football Federation,FIFA,NATO,37623,40552,18439, Asian,2,19.125,5.28125,13.84375,False,True
P495_10012,P495,Franco-Belgian comics,Belgium,Japan,30674,5928,573, the,5,16.0,9.0,7.0,False,True
P495_1003,P495,Comic High!,Japan,Canada,5928,6591,235248, ,75,10.625,13.9375,-3.3125,False,False
P641_10047,P641,Stan Musial,baseball,soccer,23052,25882,23052, baseball,1,19.75,11.5,8.25,True,True
P641_10270,P641,Billy Sunday,baseball,soccer,23052,25882,576, of,5,11.6875,6.21875,5.46875,False,True
P740_10016,P740,Pentacon,Dresden,London,65841,5282,235248, ,5,14.5625,8.25,6.3125,False,True
P740_10054,P740,Larsen & Toubro,Mumbai,London,36664,5282,235248, ,3,13.75,9.375,4.375,False,True
P937_10004,P937,Adam Jerzy Czartoryski,Paris,London,7127,5282,573, the,19,16.125,15.9375,0.1875,False,False
P937_10060,P937,Jonathan Meese,Hamburg,London,35834,5282,476, a,21,13.1875,13.5625,-0.375,False,False
