trial_id,base_trial_id,crel,attr_dim,pair_id,word_a,word_b,correct_answer,incorrect_answer,swap_type,prompt
POSBIAS_MORE_P_pair0,MORE_P_pair0,MORE,P,pair0,trinplinwem,balaigri,balaigri,trinplinwem,MORE_LESS_word_swap,"Definitions:
- trinplinwem: something that is bold and complex
- balaigri is more/greater than trinplinwem in all respects

Q: Which is more bold, balaigri or trinplinwem? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_P_pair0,LESS_P_pair0,LESS,P,pair0,trinplinwem,balaigri,trinplinwem,balaigri,MORE_LESS_word_swap,"Definitions:
- trinplinwem: something that is bold and complex
- balaigri is less/smaller than trinplinwem in all respects

Q: Which is more bold, balaigri or trinplinwem? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_Q_pair0,MORE_Q_pair0,MORE,Q,pair0,trinplinwem,balaigri,balaigri,trinplinwem,MORE_LESS_word_swap,"Definitions:
- trinplinwem: something that is bold and complex
- balaigri is more/greater than trinplinwem in all respects

Q: Which is more complex, balaigri or trinplinwem? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_Q_pair0,LESS_Q_pair0,LESS,Q,pair0,trinplinwem,balaigri,trinplinwem,balaigri,MORE_LESS_word_swap,"Definitions:
- trinplinwem: something that is bold and complex
- balaigri is less/smaller than trinplinwem in all respects

Q: Which is more complex, balaigri or trinplinwem? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_P_pair0,SAME_P_pair0,SAME,P,pair0,trinplinwem,balaigri,bold,cautious,SAMEOPP_choice_swap,"Definitions:
- trinplinwem: something that is bold and complex
- balaigri is the same as trinplinwem

Q: Is balaigri cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_P_pair0,OPP_P_pair0,OPP,P,pair0,trinplinwem,balaigri,cautious,bold,SAMEOPP_choice_swap,"Definitions:
- trinplinwem: something that is bold and complex
- balaigri is the opposite of trinplinwem

Q: Is balaigri cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_Q_pair0,SAME_Q_pair0,SAME,Q,pair0,trinplinwem,balaigri,complex,simple,SAMEOPP_choice_swap,"Definitions:
- trinplinwem: something that is bold and complex
- balaigri is the same as trinplinwem

Q: Is balaigri simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_Q_pair0,OPP_Q_pair0,OPP,Q,pair0,trinplinwem,balaigri,simple,complex,SAMEOPP_choice_swap,"Definitions:
- trinplinwem: something that is bold and complex
- balaigri is the opposite of trinplinwem

Q: Is balaigri simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_P_pair1,MORE_P_pair1,MORE,P,pair1,goustainga,prosbemei,prosbemei,goustainga,MORE_LESS_word_swap,"Definitions:
- goustainga: something that is bold and complex
- prosbemei is more/greater than goustainga in all respects

Q: Which is more bold, prosbemei or goustainga? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_P_pair1,LESS_P_pair1,LESS,P,pair1,goustainga,prosbemei,goustainga,prosbemei,MORE_LESS_word_swap,"Definitions:
- goustainga: something that is bold and complex
- prosbemei is less/smaller than goustainga in all respects

Q: Which is more bold, prosbemei or goustainga? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_Q_pair1,MORE_Q_pair1,MORE,Q,pair1,goustainga,prosbemei,prosbemei,goustainga,MORE_LESS_word_swap,"Definitions:
- goustainga: something that is bold and complex
- prosbemei is more/greater than goustainga in all respects

Q: Which is more complex, prosbemei or goustainga? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_Q_pair1,LESS_Q_pair1,LESS,Q,pair1,goustainga,prosbemei,goustainga,prosbemei,MORE_LESS_word_swap,"Definitions:
- goustainga: something that is bold and complex
- prosbemei is less/smaller than goustainga in all respects

Q: Which is more complex, prosbemei or goustainga? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_P_pair1,SAME_P_pair1,SAME,P,pair1,goustainga,prosbemei,bold,cautious,SAMEOPP_choice_swap,"Definitions:
- goustainga: something that is bold and complex
- prosbemei is the same as goustainga

Q: Is prosbemei cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_P_pair1,OPP_P_pair1,OPP,P,pair1,goustainga,prosbemei,cautious,bold,SAMEOPP_choice_swap,"Definitions:
- goustainga: something that is bold and complex
- prosbemei is the opposite of goustainga

Q: Is prosbemei cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_Q_pair1,SAME_Q_pair1,SAME,Q,pair1,goustainga,prosbemei,complex,simple,SAMEOPP_choice_swap,"Definitions:
- goustainga: something that is bold and complex
- prosbemei is the same as goustainga

Q: Is prosbemei simple or complex? (Answer EXACTLY ONE WORD)
A:"
