trial_id,crel,attr_dim,pair_id,word_a,word_b,correct_answer,incorrect_answer,correct_first_subtoken_id,incorrect_first_subtoken_id,d_plus,correct_rank,is_argmax_correct,generated_response_50,generated_response_final,is_string_correct_50,is_string_correct_final,max_new_tokens_used,swap_type
POSBIAS_MORE_P_pair0,MORE,P,pair0,trinplinwem,balaigri,balaigri,trinplinwem,111865,104647,10.1875,1,True," balaigri 


"," balaigri 


",True,True,50,MORE_LESS_word_swap
POSBIAS_LESS_P_pair0,LESS,P,pair0,trinplinwem,balaigri,trinplinwem,balaigri,104647,111865,16.515625,1,True," trinplinwem
"," trinplinwem
",True,True,50,MORE_LESS_word_swap
POSBIAS_MORE_Q_pair0,MORE,Q,pair0,trinplinwem,balaigri,balaigri,trinplinwem,111865,104647,8.5625,1,True," balaigri
"," balaigri
",True,True,50,MORE_LESS_word_swap
POSBIAS_LESS_Q_pair0,LESS,Q,pair0,trinplinwem,balaigri,trinplinwem,balaigri,104647,111865,15.578125,1,True," trinplinwem
"," trinplinwem
",True,True,50,MORE_LESS_word_swap
POSBIAS_SAME_P_pair0,SAME,P,pair0,trinplinwem,balaigri,bold,cautious,16740,56608,14.8125,2,False," Bold 
"," Bold 
",True,True,50,SAMEOPP_choice_swap
POSBIAS_OPP_P_pair0,OPP,P,pair0,trinplinwem,balaigri,cautious,bold,56608,16740,12.65625,2,False," Cautious 
"," Cautious 
",True,True,50,SAMEOPP_choice_swap
POSBIAS_SAME_Q_pair0,SAME,Q,pair0,trinplinwem,balaigri,complex,simple,5766,3890,15.171875,2,False," Complex
"," Complex
",True,True,50,SAMEOPP_choice_swap
POSBIAS_OPP_Q_pair0,OPP,Q,pair0,trinplinwem,balaigri,simple,complex,3890,5766,5.625,2,False," Simple
"," Simple
",True,True,50,SAMEOPP_choice_swap
POSBIAS_MORE_P_pair1,MORE,P,pair1,goustainga,prosbemei,prosbemei,goustainga,11341,45285,9.0625,1,True," prosbemei 
"," prosbemei 
",True,True,50,MORE_LESS_word_swap
POSBIAS_LESS_P_pair1,LESS,P,pair1,goustainga,prosbemei,goustainga,prosbemei,45285,11341,11.75,1,True," goustainga
"," goustainga
",True,True,50,MORE_LESS_word_swap
POSBIAS_MORE_Q_pair1,MORE,Q,pair1,goustainga,prosbemei,prosbemei,goustainga,11341,45285,6.0625,1,True," prosbemei
"," prosbemei
",True,True,50,MORE_LESS_word_swap
POSBIAS_LESS_Q_pair1,LESS,Q,pair1,goustainga,prosbemei,goustainga,prosbemei,45285,11341,10.75,1,True," goustainga
"," goustainga
",True,True,50,MORE_LESS_word_swap
