model,group,ratio,k,k_actual,crel_pair,pair_id,attr_dim,delta_target_logit_signed,delta_source_logit_signed,argmax_token_id_clean,argmax_token_id_patched
gemma-2-9b-it,hihp_imp_desc,0.01,6,6,SAME-OPP,pair0,P,0.125,-0.65625,56401,56401
gemma-2-9b-it,hihp_imp_desc,0.01,6,6,SAME-OPP,pair0,Q,0.125,-0.21875,25280,25280
gemma-2-9b-it,hihp_imp_desc,0.01,6,6,SAME-OPP,pair1,P,0.0,-0.640625,56401,56401
gemma-2-9b-it,hihp_imp_desc,0.01,6,6,SAME-OPP,pair1,Q,0.125,-0.140625,25280,25280
gemma-2-9b-it,hihp_imp_desc,0.01,6,6,SAME-OPP,pair2,P,0.375,-0.53125,56401,56401
gemma-2-9b-it,hihp_imp_desc,0.01,6,6,SAME-OPP,pair2,Q,0.5,-0.4375,25280,25280
gemma-2-9b-it,hihp_imp_desc,0.01,6,6,SAME-OPP,pair3,P,0.375,-0.53125,56401,56401
gemma-2-9b-it,hihp_imp_desc,0.01,6,6,SAME-OPP,pair3,Q,-0.125,-0.859375,25280,25280
gemma-2-9b-it,hihp_imp_desc,0.01,6,6,SAME-OPP,pair4,P,0.125,-0.53125,56401,56401
gemma-2-9b-it,hihp_imp_desc,0.01,6,6,SAME-OPP,pair4,Q,0.25,0.0,25280,25280
gemma-2-9b-it,hihp_imp_desc,0.01,6,6,SAME-OPP,pair5,P,0.375,-0.71875,56401,56401
gemma-2-9b-it,hihp_imp_desc,0.01,6,6,SAME-OPP,pair5,Q,0.625,-0.34375,25280,25280
gemma-2-9b-it,hihp_imp_desc,0.01,6,6,SAME-OPP,pair6,P,0.125,-0.65625,56401,56401
gemma-2-9b-it,hihp_imp_desc,0.01,6,6,SAME-OPP,pair6,Q,-0.125,-0.671875,25280,25280
gemma-2-9b-it,hihp_imp_desc,0.01,6,6,SAME-OPP,pair7,P,0.25,-0.4375,56401,56401
gemma-2-9b-it,hihp_imp_desc,0.01,6,6,SAME-OPP,pair7,Q,0.25,-0.0625,25280,25280
gemma-2-9b-it,hihp_imp_desc,0.01,6,6,SAME-OPP,pair8,P,0.125,-0.625,56401,56401
gemma-2-9b-it,hihp_imp_desc,0.01,6,6,SAME-OPP,pair8,Q,0.0,-0.40625,25280,25280
gemma-2-9b-it,hihp_imp_desc,0.01,6,6,SAME-OPP,pair9,P,0.125,-0.875,56401,56401
gemma-2-9b-it,hihp_imp_desc,0.01,6,6,SAME-OPP,pair9,Q,-0.125,-0.59375,25280,25280
gemma-2-9b-it,hihp_imp_desc,0.01,6,6,SAME-MORE,pair0,P,0.0,-1.8125,56401,56401
gemma-2-9b-it,hihp_imp_desc,0.01,6,6,SAME-MORE,pair0,Q,0.125,-1.65625,25280,25280
gemma-2-9b-it,hihp_imp_desc,0.01,6,6,SAME-MORE,pair1,P,0.0,-1.3125,56401,56401
