trial_id,base_trial_id,crel,attr_dim,pair_id,word_a,word_b,correct_answer,incorrect_answer,swap_type,prompt
POSBIAS_MORE_P_pair0,MORE_P_pair0,MORE,P,pair0,molwainmom,linprarsun,linprarsun,molwainmom,MORE_LESS_word_swap,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is more/greater than molwainmom in all respects

Q: Which is more bold, linprarsun or molwainmom? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_P_pair0,LESS_P_pair0,LESS,P,pair0,molwainmom,linprarsun,molwainmom,linprarsun,MORE_LESS_word_swap,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is less/smaller than molwainmom in all respects

Q: Which is more bold, linprarsun or molwainmom? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_Q_pair0,MORE_Q_pair0,MORE,Q,pair0,molwainmom,linprarsun,linprarsun,molwainmom,MORE_LESS_word_swap,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is more/greater than molwainmom in all respects

Q: Which is more complex, linprarsun or molwainmom? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_Q_pair0,LESS_Q_pair0,LESS,Q,pair0,molwainmom,linprarsun,molwainmom,linprarsun,MORE_LESS_word_swap,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is less/smaller than molwainmom in all respects

Q: Which is more complex, linprarsun or molwainmom? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_P_pair0,SAME_P_pair0,SAME,P,pair0,molwainmom,linprarsun,bold,cautious,SAMEOPP_choice_swap,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is the same as molwainmom

Q: Is linprarsun cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_P_pair0,OPP_P_pair0,OPP,P,pair0,molwainmom,linprarsun,cautious,bold,SAMEOPP_choice_swap,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is the opposite of molwainmom

Q: Is linprarsun cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_Q_pair0,SAME_Q_pair0,SAME,Q,pair0,molwainmom,linprarsun,complex,simple,SAMEOPP_choice_swap,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is the same as molwainmom

Q: Is linprarsun simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_Q_pair0,OPP_Q_pair0,OPP,Q,pair0,molwainmom,linprarsun,simple,complex,SAMEOPP_choice_swap,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is the opposite of molwainmom

Q: Is linprarsun simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_P_pair1,MORE_P_pair1,MORE,P,pair1,borpleispat,mensoskris,mensoskris,borpleispat,MORE_LESS_word_swap,"Definitions:
- borpleispat: something that is bold and complex
- mensoskris is more/greater than borpleispat in all respects

Q: Which is more bold, mensoskris or borpleispat? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_P_pair1,LESS_P_pair1,LESS,P,pair1,borpleispat,mensoskris,borpleispat,mensoskris,MORE_LESS_word_swap,"Definitions:
- borpleispat: something that is bold and complex
- mensoskris is less/smaller than borpleispat in all respects

Q: Which is more bold, mensoskris or borpleispat? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_Q_pair1,MORE_Q_pair1,MORE,Q,pair1,borpleispat,mensoskris,mensoskris,borpleispat,MORE_LESS_word_swap,"Definitions:
- borpleispat: something that is bold and complex
- mensoskris is more/greater than borpleispat in all respects

Q: Which is more complex, mensoskris or borpleispat? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_Q_pair1,LESS_Q_pair1,LESS,Q,pair1,borpleispat,mensoskris,borpleispat,mensoskris,MORE_LESS_word_swap,"Definitions:
- borpleispat: something that is bold and complex
- mensoskris is less/smaller than borpleispat in all respects

Q: Which is more complex, mensoskris or borpleispat? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_P_pair1,SAME_P_pair1,SAME,P,pair1,borpleispat,mensoskris,bold,cautious,SAMEOPP_choice_swap,"Definitions:
- borpleispat: something that is bold and complex
- mensoskris is the same as borpleispat

Q: Is mensoskris cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_P_pair1,OPP_P_pair1,OPP,P,pair1,borpleispat,mensoskris,cautious,bold,SAMEOPP_choice_swap,"Definitions:
- borpleispat: something that is bold and complex
- mensoskris is the opposite of borpleispat

Q: Is mensoskris cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_Q_pair1,SAME_Q_pair1,SAME,Q,pair1,borpleispat,mensoskris,complex,simple,SAMEOPP_choice_swap,"Definitions:
- borpleispat: something that is bold and complex
- mensoskris is the same as borpleispat

Q: Is mensoskris simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_Q_pair1,OPP_Q_pair1,OPP,Q,pair1,borpleispat,mensoskris,simple,complex,SAMEOPP_choice_swap,"Definitions:
- borpleispat: something that is bold and complex
- mensoskris is the opposite of borpleispat

Q: Is mensoskris simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_P_pair2,MORE_P_pair2,MORE,P,pair2,zalmaimair,bailmaiboun,bailmaiboun,zalmaimair,MORE_LESS_word_swap,"Definitions:
- zalmaimair: something that is bold and complex
- bailmaiboun is more/greater than zalmaimair in all respects

Q: Which is more bold, bailmaiboun or zalmaimair? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_P_pair2,LESS_P_pair2,LESS,P,pair2,zalmaimair,bailmaiboun,zalmaimair,bailmaiboun,MORE_LESS_word_swap,"Definitions:
- zalmaimair: something that is bold and complex
- bailmaiboun is less/smaller than zalmaimair in all respects

Q: Which is more bold, bailmaiboun or zalmaimair? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_Q_pair2,MORE_Q_pair2,MORE,Q,pair2,zalmaimair,bailmaiboun,bailmaiboun,zalmaimair,MORE_LESS_word_swap,"Definitions:
- zalmaimair: something that is bold and complex
- bailmaiboun is more/greater than zalmaimair in all respects

Q: Which is more complex, bailmaiboun or zalmaimair? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_Q_pair2,LESS_Q_pair2,LESS,Q,pair2,zalmaimair,bailmaiboun,zalmaimair,bailmaiboun,MORE_LESS_word_swap,"Definitions:
- zalmaimair: something that is bold and complex
- bailmaiboun is less/smaller than zalmaimair in all respects

Q: Which is more complex, bailmaiboun or zalmaimair? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_P_pair2,SAME_P_pair2,SAME,P,pair2,zalmaimair,bailmaiboun,bold,cautious,SAMEOPP_choice_swap,"Definitions:
- zalmaimair: something that is bold and complex
- bailmaiboun is the same as zalmaimair

Q: Is bailmaiboun cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_P_pair2,OPP_P_pair2,OPP,P,pair2,zalmaimair,bailmaiboun,cautious,bold,SAMEOPP_choice_swap,"Definitions:
- zalmaimair: something that is bold and complex
- bailmaiboun is the opposite of zalmaimair

Q: Is bailmaiboun cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_Q_pair2,SAME_Q_pair2,SAME,Q,pair2,zalmaimair,bailmaiboun,complex,simple,SAMEOPP_choice_swap,"Definitions:
- zalmaimair: something that is bold and complex
- bailmaiboun is the same as zalmaimair

Q: Is bailmaiboun simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_Q_pair2,OPP_Q_pair2,OPP,Q,pair2,zalmaimair,bailmaiboun,simple,complex,SAMEOPP_choice_swap,"Definitions:
- zalmaimair: something that is bold and complex
- bailmaiboun is the opposite of zalmaimair

Q: Is bailmaiboun simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_P_pair3,MORE_P_pair3,MORE,P,pair3,plelsasrait,merflouller,merflouller,plelsasrait,MORE_LESS_word_swap,"Definitions:
- plelsasrait: something that is bold and complex
- merflouller is more/greater than plelsasrait in all respects

Q: Which is more bold, merflouller or plelsasrait? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_P_pair3,LESS_P_pair3,LESS,P,pair3,plelsasrait,merflouller,plelsasrait,merflouller,MORE_LESS_word_swap,"Definitions:
- plelsasrait: something that is bold and complex
- merflouller is less/smaller than plelsasrait in all respects

Q: Which is more bold, merflouller or plelsasrait? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_Q_pair3,MORE_Q_pair3,MORE,Q,pair3,plelsasrait,merflouller,merflouller,plelsasrait,MORE_LESS_word_swap,"Definitions:
- plelsasrait: something that is bold and complex
- merflouller is more/greater than plelsasrait in all respects

Q: Which is more complex, merflouller or plelsasrait? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_Q_pair3,LESS_Q_pair3,LESS,Q,pair3,plelsasrait,merflouller,plelsasrait,merflouller,MORE_LESS_word_swap,"Definitions:
- plelsasrait: something that is bold and complex
- merflouller is less/smaller than plelsasrait in all respects

Q: Which is more complex, merflouller or plelsasrait? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_P_pair3,SAME_P_pair3,SAME,P,pair3,plelsasrait,merflouller,bold,cautious,SAMEOPP_choice_swap,"Definitions:
- plelsasrait: something that is bold and complex
- merflouller is the same as plelsasrait

Q: Is merflouller cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_P_pair3,OPP_P_pair3,OPP,P,pair3,plelsasrait,merflouller,cautious,bold,SAMEOPP_choice_swap,"Definitions:
- plelsasrait: something that is bold and complex
- merflouller is the opposite of plelsasrait

Q: Is merflouller cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_Q_pair3,SAME_Q_pair3,SAME,Q,pair3,plelsasrait,merflouller,complex,simple,SAMEOPP_choice_swap,"Definitions:
- plelsasrait: something that is bold and complex
- merflouller is the same as plelsasrait

Q: Is merflouller simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_Q_pair3,OPP_Q_pair3,OPP,Q,pair3,plelsasrait,merflouller,simple,complex,SAMEOPP_choice_swap,"Definitions:
- plelsasrait: something that is bold and complex
- merflouller is the opposite of plelsasrait

Q: Is merflouller simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_P_pair4,MORE_P_pair4,MORE,P,pair4,mourpouspan,prisflismou,prisflismou,mourpouspan,MORE_LESS_word_swap,"Definitions:
- mourpouspan: something that is bold and complex
- prisflismou is more/greater than mourpouspan in all respects

Q: Which is more bold, prisflismou or mourpouspan? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_P_pair4,LESS_P_pair4,LESS,P,pair4,mourpouspan,prisflismou,mourpouspan,prisflismou,MORE_LESS_word_swap,"Definitions:
- mourpouspan: something that is bold and complex
- prisflismou is less/smaller than mourpouspan in all respects

Q: Which is more bold, prisflismou or mourpouspan? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_Q_pair4,MORE_Q_pair4,MORE,Q,pair4,mourpouspan,prisflismou,prisflismou,mourpouspan,MORE_LESS_word_swap,"Definitions:
- mourpouspan: something that is bold and complex
- prisflismou is more/greater than mourpouspan in all respects

Q: Which is more complex, prisflismou or mourpouspan? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_Q_pair4,LESS_Q_pair4,LESS,Q,pair4,mourpouspan,prisflismou,mourpouspan,prisflismou,MORE_LESS_word_swap,"Definitions:
- mourpouspan: something that is bold and complex
- prisflismou is less/smaller than mourpouspan in all respects

Q: Which is more complex, prisflismou or mourpouspan? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_P_pair4,SAME_P_pair4,SAME,P,pair4,mourpouspan,prisflismou,bold,cautious,SAMEOPP_choice_swap,"Definitions:
- mourpouspan: something that is bold and complex
- prisflismou is the same as mourpouspan

Q: Is prisflismou cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_P_pair4,OPP_P_pair4,OPP,P,pair4,mourpouspan,prisflismou,cautious,bold,SAMEOPP_choice_swap,"Definitions:
- mourpouspan: something that is bold and complex
- prisflismou is the opposite of mourpouspan

Q: Is prisflismou cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_Q_pair4,SAME_Q_pair4,SAME,Q,pair4,mourpouspan,prisflismou,complex,simple,SAMEOPP_choice_swap,"Definitions:
- mourpouspan: something that is bold and complex
- prisflismou is the same as mourpouspan

Q: Is prisflismou simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_Q_pair4,OPP_Q_pair4,OPP,Q,pair4,mourpouspan,prisflismou,simple,complex,SAMEOPP_choice_swap,"Definitions:
- mourpouspan: something that is bold and complex
- prisflismou is the opposite of mourpouspan

Q: Is prisflismou simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_P_pair5,MORE_P_pair5,MORE,P,pair5,sleinvelwen,trevasleir,trevasleir,sleinvelwen,MORE_LESS_word_swap,"Definitions:
- sleinvelwen: something that is bold and complex
- trevasleir is more/greater than sleinvelwen in all respects

Q: Which is more bold, trevasleir or sleinvelwen? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_P_pair5,LESS_P_pair5,LESS,P,pair5,sleinvelwen,trevasleir,sleinvelwen,trevasleir,MORE_LESS_word_swap,"Definitions:
- sleinvelwen: something that is bold and complex
- trevasleir is less/smaller than sleinvelwen in all respects

Q: Which is more bold, trevasleir or sleinvelwen? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_Q_pair5,MORE_Q_pair5,MORE,Q,pair5,sleinvelwen,trevasleir,trevasleir,sleinvelwen,MORE_LESS_word_swap,"Definitions:
- sleinvelwen: something that is bold and complex
- trevasleir is more/greater than sleinvelwen in all respects

Q: Which is more complex, trevasleir or sleinvelwen? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_Q_pair5,LESS_Q_pair5,LESS,Q,pair5,sleinvelwen,trevasleir,sleinvelwen,trevasleir,MORE_LESS_word_swap,"Definitions:
- sleinvelwen: something that is bold and complex
- trevasleir is less/smaller than sleinvelwen in all respects

Q: Which is more complex, trevasleir or sleinvelwen? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_P_pair5,SAME_P_pair5,SAME,P,pair5,sleinvelwen,trevasleir,bold,cautious,SAMEOPP_choice_swap,"Definitions:
- sleinvelwen: something that is bold and complex
- trevasleir is the same as sleinvelwen

Q: Is trevasleir cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_P_pair5,OPP_P_pair5,OPP,P,pair5,sleinvelwen,trevasleir,cautious,bold,SAMEOPP_choice_swap,"Definitions:
- sleinvelwen: something that is bold and complex
- trevasleir is the opposite of sleinvelwen

Q: Is trevasleir cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_Q_pair5,SAME_Q_pair5,SAME,Q,pair5,sleinvelwen,trevasleir,complex,simple,SAMEOPP_choice_swap,"Definitions:
- sleinvelwen: something that is bold and complex
- trevasleir is the same as sleinvelwen

Q: Is trevasleir simple or complex? (Answer EXACTLY ONE WORD)
A:"
