trial_id,crel,attr_dim,pair_id,word_a,word_b,correct_answer,incorrect_answer,answer_type,prompt
SAME_P_pair0,SAME,P,pair0,trinplinwem,balaigri,bold,cautious,attribute_word,"Definitions:
- trinplinwem: something that is bold and complex
- balaigri is the same as trinplinwem

Q: Is balaigri bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair0,OPP,P,pair0,trinplinwem,balaigri,cautious,bold,attribute_word,"Definitions:
- trinplinwem: something that is bold and complex
- balaigri is the opposite of trinplinwem

Q: Is balaigri bold or cautious? (Answer EXACTLY ONE WORD)
A:"
SAME_Q_pair0,SAME,Q,pair0,trinplinwem,balaigri,complex,simple,attribute_word,"Definitions:
- trinplinwem: something that is bold and complex
- balaigri is the same as trinplinwem

Q: Is balaigri complex or simple? (Answer EXACTLY ONE WORD)
A:"
OPP_Q_pair0,OPP,Q,pair0,trinplinwem,balaigri,simple,complex,attribute_word,"Definitions:
- trinplinwem: something that is bold and complex
- balaigri is the opposite of trinplinwem

Q: Is balaigri complex or simple? (Answer EXACTLY ONE WORD)
A:"
MORE_P_pair0,MORE,P,pair0,trinplinwem,balaigri,balaigri,trinplinwem,novel_word,"Definitions:
- trinplinwem: something that is bold and complex
- balaigri is more/greater than trinplinwem in all respects

Q: Which is more bold, trinplinwem or balaigri? (Answer EXACTLY ONE WORD)
A:"
LESS_P_pair0,LESS,P,pair0,trinplinwem,balaigri,trinplinwem,balaigri,novel_word,"Definitions:
- trinplinwem: something that is bold and complex
- balaigri is less/smaller than trinplinwem in all respects

Q: Which is more bold, trinplinwem or balaigri? (Answer EXACTLY ONE WORD)
A:"
MORE_Q_pair0,MORE,Q,pair0,trinplinwem,balaigri,balaigri,trinplinwem,novel_word,"Definitions:
- trinplinwem: something that is bold and complex
- balaigri is more/greater than trinplinwem in all respects

Q: Which is more complex, trinplinwem or balaigri? (Answer EXACTLY ONE WORD)
A:"
LESS_Q_pair0,LESS,Q,pair0,trinplinwem,balaigri,trinplinwem,balaigri,novel_word,"Definitions:
- trinplinwem: something that is bold and complex
- balaigri is less/smaller than trinplinwem in all respects

Q: Which is more complex, trinplinwem or balaigri? (Answer EXACTLY ONE WORD)
A:"
SAME_P_pair1,SAME,P,pair1,goustainga,prosbemei,bold,cautious,attribute_word,"Definitions:
- goustainga: something that is bold and complex
- prosbemei is the same as goustainga

Q: Is prosbemei bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair1,OPP,P,pair1,goustainga,prosbemei,cautious,bold,attribute_word,"Definitions:
- goustainga: something that is bold and complex
- prosbemei is the opposite of goustainga

Q: Is prosbemei bold or cautious? (Answer EXACTLY ONE WORD)
A:"
