trial_id,crel,attr_dim,pair_id,correct_answer,incorrect_answer,correct_first_subtoken_id,incorrect_first_subtoken_id,correct_first_subtoken_text,incorrect_first_subtoken_text,correct_token_count,incorrect_token_count
SAME_P_pair0,SAME,P,pair0,bold,cautious,16627,50799, bold, cautious,1,1
OPP_P_pair0,OPP,P,pair0,cautious,bold,50799,16627, cautious, bold,1,1
SAME_Q_pair0,SAME,Q,pair0,complex,simple,3996,3606, complex, simple,1,1
OPP_Q_pair0,OPP,Q,pair0,simple,complex,3606,3996, simple, complex,1,1
MORE_P_pair0,MORE,P,pair0,linprarsun,molwainmom,12161,8627, lin, mol,4,4
LESS_P_pair0,LESS,P,pair0,molwainmom,linprarsun,8627,12161, mol, lin,4,4
MORE_Q_pair0,MORE,Q,pair0,linprarsun,molwainmom,12161,8627, lin, mol,4,4
LESS_Q_pair0,LESS,Q,pair0,molwainmom,linprarsun,8627,12161, mol, lin,4,4
SAME_P_pair1,SAME,P,pair1,bold,cautious,16627,50799, bold, cautious,1,1
OPP_P_pair1,OPP,P,pair1,cautious,bold,50799,16627, cautious, bold,1,1
SAME_Q_pair1,SAME,Q,pair1,complex,simple,3996,3606, complex, simple,1,1
OPP_Q_pair1,OPP,Q,pair1,simple,complex,3606,3996, simple, complex,1,1
MORE_P_pair1,MORE,P,pair1,mailpluwen,nousdabrik,10658,7653, mail, nous,3,3
LESS_P_pair1,LESS,P,pair1,nousdabrik,mailpluwen,7653,10658, nous, mail,3,3
MORE_Q_pair1,MORE,Q,pair1,mailpluwen,nousdabrik,10658,7653, mail, nous,3,3
LESS_Q_pair1,LESS,Q,pair1,nousdabrik,mailpluwen,7653,10658, nous, mail,3,3
SAME_P_pair2,SAME,P,pair2,bold,cautious,16627,50799, bold, cautious,1,1
OPP_P_pair2,OPP,P,pair2,cautious,bold,50799,16627, cautious, bold,1,1
SAME_Q_pair2,SAME,Q,pair2,complex,simple,3996,3606, complex, simple,1,1
OPP_Q_pair2,OPP,Q,pair2,simple,complex,3606,3996, simple, complex,1,1
MORE_P_pair2,MORE,P,pair2,kepalmour,lorspenprem,16104,16003, kep, lors,3,3
LESS_P_pair2,LESS,P,pair2,lorspenprem,kepalmour,16003,16104, lors, kep,3,3
MORE_Q_pair2,MORE,Q,pair2,kepalmour,lorspenprem,16104,16003, kep, lors,3,3
LESS_Q_pair2,LESS,Q,pair2,lorspenprem,kepalmour,16003,16104, lors, kep,3,3
SAME_P_pair3,SAME,P,pair3,bold,cautious,16627,50799, bold, cautious,1,1
OPP_P_pair3,OPP,P,pair3,cautious,bold,50799,16627, cautious, bold,1,1
SAME_Q_pair3,SAME,Q,pair3,complex,simple,3996,3606, complex, simple,1,1
OPP_Q_pair3,OPP,Q,pair3,simple,complex,3606,3996, simple, complex,1,1
MORE_P_pair3,MORE,P,pair3,dimonkeis,noulnenkre,4045,10515, dim, nou,4,4
LESS_P_pair3,LESS,P,pair3,noulnenkre,dimonkeis,10515,4045, nou, dim,4,4
MORE_Q_pair3,MORE,Q,pair3,dimonkeis,noulnenkre,4045,10515, dim, nou,4,4
LESS_Q_pair3,LESS,Q,pair3,noulnenkre,dimonkeis,10515,4045, nou, dim,4,4
SAME_P_pair4,SAME,P,pair4,bold,cautious,16627,50799, bold, cautious,1,1
OPP_P_pair4,OPP,P,pair4,cautious,bold,50799,16627, cautious, bold,1,1
SAME_Q_pair4,SAME,Q,pair4,complex,simple,3996,3606, complex, simple,1,1
OPP_Q_pair4,OPP,Q,pair4,simple,complex,3606,3996, simple, complex,1,1
MORE_P_pair4,MORE,P,pair4,wurplonaik,brunplifouk,9540,29856, wur, brun,4,4
LESS_P_pair4,LESS,P,pair4,brunplifouk,wurplonaik,29856,9540, brun, wur,4,4
MORE_Q_pair4,MORE,Q,pair4,wurplonaik,brunplifouk,9540,29856, wur, brun,4,4
LESS_Q_pair4,LESS,Q,pair4,brunplifouk,wurplonaik,29856,9540, brun, wur,4,4
SAME_P_pair5,SAME,P,pair5,bold,cautious,16627,50799, bold, cautious,1,1
OPP_P_pair5,OPP,P,pair5,cautious,bold,50799,16627, cautious, bold,1,1
SAME_Q_pair5,SAME,Q,pair5,complex,simple,3996,3606, complex, simple,1,1
OPP_Q_pair5,OPP,Q,pair5,simple,complex,3606,3996, simple, complex,1,1
MORE_P_pair5,MORE,P,pair5,plurpasnik,dorsongom,75416,38224, plur, dors,3,3
LESS_P_pair5,LESS,P,pair5,dorsongom,plurpasnik,38224,75416, dors, plur,3,3
MORE_Q_pair5,MORE,Q,pair5,plurpasnik,dorsongom,75416,38224, plur, dors,3,3
LESS_Q_pair5,LESS,Q,pair5,dorsongom,plurpasnik,38224,75416, dors, plur,3,3
SAME_P_pair6,SAME,P,pair6,bold,cautious,16627,50799, bold, cautious,1,1
OPP_P_pair6,OPP,P,pair6,cautious,bold,50799,16627, cautious, bold,1,1
SAME_Q_pair6,SAME,Q,pair6,complex,simple,3996,3606, complex, simple,1,1
OPP_Q_pair6,OPP,Q,pair6,simple,complex,3606,3996, simple, complex,1,1
MORE_P_pair6,MORE,P,pair6,gesstoukei,korrourvain,13502,13583, ges, kor,4,4
LESS_P_pair6,LESS,P,pair6,korrourvain,gesstoukei,13583,13502, kor, ges,4,4
MORE_Q_pair6,MORE,Q,pair6,gesstoukei,korrourvain,13502,13583, ges, kor,4,4
LESS_Q_pair6,LESS,Q,pair6,korrourvain,gesstoukei,13583,13502, kor, ges,4,4
SAME_P_pair7,SAME,P,pair7,bold,cautious,16627,50799, bold, cautious,1,1
OPP_P_pair7,OPP,P,pair7,cautious,bold,50799,16627, cautious, bold,1,1
SAME_Q_pair7,SAME,Q,pair7,complex,simple,3996,3606, complex, simple,1,1
OPP_Q_pair7,OPP,Q,pair7,simple,complex,3606,3996, simple, complex,1,1
MORE_P_pair7,MORE,P,pair7,vougelspis,lurtonzout,19414,61501, vou, lur,4,4
LESS_P_pair7,LESS,P,pair7,lurtonzout,vougelspis,61501,19414, lur, vou,4,4
MORE_Q_pair7,MORE,Q,pair7,vougelspis,lurtonzout,19414,61501, vou, lur,4,4
LESS_Q_pair7,LESS,Q,pair7,lurtonzout,vougelspis,61501,19414, lur, vou,4,4
SAME_P_pair8,SAME,P,pair8,bold,cautious,16627,50799, bold, cautious,1,1
OPP_P_pair8,OPP,P,pair8,cautious,bold,50799,16627, cautious, bold,1,1
SAME_Q_pair8,SAME,Q,pair8,complex,simple,3996,3606, complex, simple,1,1
OPP_Q_pair8,OPP,Q,pair8,simple,complex,3606,3996, simple, complex,1,1
MORE_P_pair8,MORE,P,pair8,walarslat,sapourzat,12460,23588, wal, sap,3,3
LESS_P_pair8,LESS,P,pair8,sapourzat,walarslat,23588,12460, sap, wal,3,3
MORE_Q_pair8,MORE,Q,pair8,walarslat,sapourzat,12460,23588, wal, sap,3,3
LESS_Q_pair8,LESS,Q,pair8,sapourzat,walarslat,23588,12460, sap, wal,3,3
SAME_P_pair9,SAME,P,pair9,bold,cautious,16627,50799, bold, cautious,1,1
OPP_P_pair9,OPP,P,pair9,cautious,bold,50799,16627, cautious, bold,1,1
SAME_Q_pair9,SAME,Q,pair9,complex,simple,3996,3606, complex, simple,1,1
OPP_Q_pair9,OPP,Q,pair9,simple,complex,3606,3996, simple, complex,1,1
MORE_P_pair9,MORE,P,pair9,sirsolbeis,pirvasek,17536,24341, sir, pir,3,3
LESS_P_pair9,LESS,P,pair9,pirvasek,sirsolbeis,24341,17536, pir, sir,3,3
MORE_Q_pair9,MORE,Q,pair9,sirsolbeis,pirvasek,17536,24341, sir, pir,3,3
LESS_Q_pair9,LESS,Q,pair9,pirvasek,sirsolbeis,24341,17536, pir, sir,3,3
