trial_id,crel,attr_dim,pair_id,word_a,word_b,correct_answer,incorrect_answer,correct_first_subtoken_id,incorrect_first_subtoken_id,d_plus,correct_rank,is_argmax_correct,generated_response_50,generated_response_final,is_string_correct_50,is_string_correct_final,max_new_tokens_used
SAME_P_pair0,SAME,P,pair0,molwainmom,linprarsun,bold,cautious,16627,50799,9.5,2,False," Bold
"," Bold
",True,True,50
OPP_P_pair0,OPP,P,pair0,molwainmom,linprarsun,cautious,bold,50799,16627,19.625,1,True," cautious
"," cautious
",True,True,50
SAME_Q_pair0,SAME,Q,pair0,molwainmom,linprarsun,complex,simple,3996,3606,14.625,2,False," Complex
"," Complex
",True,True,50
OPP_Q_pair0,OPP,Q,pair0,molwainmom,linprarsun,simple,complex,3606,3996,12.375,1,True," simple
"," simple
",True,True,50
MORE_P_pair0,MORE,P,pair0,molwainmom,linprarsun,linprarsun,molwainmom,12161,8627,14.75,1,True," linprarsun
"," linprarsun
",True,True,50
LESS_P_pair0,LESS,P,pair0,molwainmom,linprarsun,molwainmom,linprarsun,8627,12161,16.875,1,True," molwainmom
"," molwainmom
",True,True,50
MORE_Q_pair0,MORE,Q,pair0,molwainmom,linprarsun,linprarsun,molwainmom,12161,8627,13.875,1,True," linprarsun
"," linprarsun
",True,True,50
LESS_Q_pair0,LESS,Q,pair0,molwainmom,linprarsun,molwainmom,linprarsun,8627,12161,18.25,1,True," molwainmom
"," molwainmom
",True,True,50
SAME_P_pair1,SAME,P,pair1,nousdabrik,mailpluwen,bold,cautious,16627,50799,13.75,2,False," Bold
"," Bold
",True,True,50
OPP_P_pair1,OPP,P,pair1,nousdabrik,mailpluwen,cautious,bold,50799,16627,21.375,1,True," cautious
"," cautious
",True,True,50
SAME_Q_pair1,SAME,Q,pair1,nousdabrik,mailpluwen,complex,simple,3996,3606,19.0625,2,False," Complex
"," Complex
",True,True,50
OPP_Q_pair1,OPP,Q,pair1,nousdabrik,mailpluwen,simple,complex,3606,3996,13.875,2,False," Simple
"," Simple
",True,True,50
