trial_id,crel,attr_dim,pair_id,word_a,word_b,correct_answer,incorrect_answer,answer_type,prompt
SAME_P_pair0,SAME,P,pair0,toufepos,folkeirrai,bold,cautious,attribute_word,"Definitions:
- toufepos: something that is bold and complex
- folkeirrai is the same as toufepos

Q: Is folkeirrai bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair0,OPP,P,pair0,toufepos,folkeirrai,cautious,bold,attribute_word,"Definitions:
- toufepos: something that is bold and complex
- folkeirrai is the opposite of toufepos

Q: Is folkeirrai bold or cautious? (Answer EXACTLY ONE WORD)
A:"
SAME_Q_pair0,SAME,Q,pair0,toufepos,folkeirrai,complex,simple,attribute_word,"Definitions:
- toufepos: something that is bold and complex
- folkeirrai is the same as toufepos

Q: Is folkeirrai complex or simple? (Answer EXACTLY ONE WORD)
A:"
OPP_Q_pair0,OPP,Q,pair0,toufepos,folkeirrai,simple,complex,attribute_word,"Definitions:
- toufepos: something that is bold and complex
- folkeirrai is the opposite of toufepos

Q: Is folkeirrai complex or simple? (Answer EXACTLY ONE WORD)
A:"
MORE_P_pair0,MORE,P,pair0,toufepos,folkeirrai,folkeirrai,toufepos,novel_word,"Definitions:
- toufepos: something that is bold and complex
- folkeirrai is more/greater than toufepos in all respects

Q: Which is more bold, toufepos or folkeirrai? (Answer EXACTLY ONE WORD)
A:"
LESS_P_pair0,LESS,P,pair0,toufepos,folkeirrai,toufepos,folkeirrai,novel_word,"Definitions:
- toufepos: something that is bold and complex
- folkeirrai is less/smaller than toufepos in all respects

Q: Which is more bold, toufepos or folkeirrai? (Answer EXACTLY ONE WORD)
A:"
MORE_Q_pair0,MORE,Q,pair0,toufepos,folkeirrai,folkeirrai,toufepos,novel_word,"Definitions:
- toufepos: something that is bold and complex
- folkeirrai is more/greater than toufepos in all respects

Q: Which is more complex, toufepos or folkeirrai? (Answer EXACTLY ONE WORD)
A:"
LESS_Q_pair0,LESS,Q,pair0,toufepos,folkeirrai,toufepos,folkeirrai,novel_word,"Definitions:
- toufepos: something that is bold and complex
- folkeirrai is less/smaller than toufepos in all respects

Q: Which is more complex, toufepos or folkeirrai? (Answer EXACTLY ONE WORD)
A:"
SAME_P_pair1,SAME,P,pair1,nurmonkuk,tesfaisol,bold,cautious,attribute_word,"Definitions:
- nurmonkuk: something that is bold and complex
- tesfaisol is the same as nurmonkuk

Q: Is tesfaisol bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair1,OPP,P,pair1,nurmonkuk,tesfaisol,cautious,bold,attribute_word,"Definitions:
- nurmonkuk: something that is bold and complex
- tesfaisol is the opposite of nurmonkuk

Q: Is tesfaisol bold or cautious? (Answer EXACTLY ONE WORD)
A:"
SAME_Q_pair1,SAME,Q,pair1,nurmonkuk,tesfaisol,complex,simple,attribute_word,"Definitions:
- nurmonkuk: something that is bold and complex
- tesfaisol is the same as nurmonkuk

Q: Is tesfaisol complex or simple? (Answer EXACTLY ONE WORD)
A:"
OPP_Q_pair1,OPP,Q,pair1,nurmonkuk,tesfaisol,simple,complex,attribute_word,"Definitions:
- nurmonkuk: something that is bold and complex
- tesfaisol is the opposite of nurmonkuk

Q: Is tesfaisol complex or simple? (Answer EXACTLY ONE WORD)
A:"
MORE_P_pair1,MORE,P,pair1,nurmonkuk,tesfaisol,tesfaisol,nurmonkuk,novel_word,"Definitions:
- nurmonkuk: something that is bold and complex
- tesfaisol is more/greater than nurmonkuk in all respects

Q: Which is more bold, nurmonkuk or tesfaisol? (Answer EXACTLY ONE WORD)
A:"
LESS_P_pair1,LESS,P,pair1,nurmonkuk,tesfaisol,nurmonkuk,tesfaisol,novel_word,"Definitions:
- nurmonkuk: something that is bold and complex
- tesfaisol is less/smaller than nurmonkuk in all respects

Q: Which is more bold, nurmonkuk or tesfaisol? (Answer EXACTLY ONE WORD)
A:"
MORE_Q_pair1,MORE,Q,pair1,nurmonkuk,tesfaisol,tesfaisol,nurmonkuk,novel_word,"Definitions:
- nurmonkuk: something that is bold and complex
- tesfaisol is more/greater than nurmonkuk in all respects

Q: Which is more complex, nurmonkuk or tesfaisol? (Answer EXACTLY ONE WORD)
A:"
LESS_Q_pair1,LESS,Q,pair1,nurmonkuk,tesfaisol,nurmonkuk,tesfaisol,novel_word,"Definitions:
- nurmonkuk: something that is bold and complex
- tesfaisol is less/smaller than nurmonkuk in all respects

Q: Which is more complex, nurmonkuk or tesfaisol? (Answer EXACTLY ONE WORD)
A:"
SAME_P_pair2,SAME,P,pair2,borpleispat,mensoskris,bold,cautious,attribute_word,"Definitions:
- borpleispat: something that is bold and complex
- mensoskris is the same as borpleispat

Q: Is mensoskris bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair2,OPP,P,pair2,borpleispat,mensoskris,cautious,bold,attribute_word,"Definitions:
- borpleispat: something that is bold and complex
- mensoskris is the opposite of borpleispat

Q: Is mensoskris bold or cautious? (Answer EXACTLY ONE WORD)
A:"
SAME_Q_pair2,SAME,Q,pair2,borpleispat,mensoskris,complex,simple,attribute_word,"Definitions:
- borpleispat: something that is bold and complex
- mensoskris is the same as borpleispat

Q: Is mensoskris complex or simple? (Answer EXACTLY ONE WORD)
A:"
OPP_Q_pair2,OPP,Q,pair2,borpleispat,mensoskris,simple,complex,attribute_word,"Definitions:
- borpleispat: something that is bold and complex
- mensoskris is the opposite of borpleispat

Q: Is mensoskris complex or simple? (Answer EXACTLY ONE WORD)
A:"
MORE_P_pair2,MORE,P,pair2,borpleispat,mensoskris,mensoskris,borpleispat,novel_word,"Definitions:
- borpleispat: something that is bold and complex
- mensoskris is more/greater than borpleispat in all respects

Q: Which is more bold, borpleispat or mensoskris? (Answer EXACTLY ONE WORD)
A:"
LESS_P_pair2,LESS,P,pair2,borpleispat,mensoskris,borpleispat,mensoskris,novel_word,"Definitions:
- borpleispat: something that is bold and complex
- mensoskris is less/smaller than borpleispat in all respects

Q: Which is more bold, borpleispat or mensoskris? (Answer EXACTLY ONE WORD)
A:"
MORE_Q_pair2,MORE,Q,pair2,borpleispat,mensoskris,mensoskris,borpleispat,novel_word,"Definitions:
- borpleispat: something that is bold and complex
- mensoskris is more/greater than borpleispat in all respects

Q: Which is more complex, borpleispat or mensoskris? (Answer EXACTLY ONE WORD)
A:"
LESS_Q_pair2,LESS,Q,pair2,borpleispat,mensoskris,borpleispat,mensoskris,novel_word,"Definitions:
- borpleispat: something that is bold and complex
- mensoskris is less/smaller than borpleispat in all respects

Q: Which is more complex, borpleispat or mensoskris? (Answer EXACTLY ONE WORD)
A:"
SAME_P_pair3,SAME,P,pair3,tregeilnel,dansoszeis,bold,cautious,attribute_word,"Definitions:
- tregeilnel: something that is bold and complex
- dansoszeis is the same as tregeilnel

Q: Is dansoszeis bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair3,OPP,P,pair3,tregeilnel,dansoszeis,cautious,bold,attribute_word,"Definitions:
- tregeilnel: something that is bold and complex
- dansoszeis is the opposite of tregeilnel

Q: Is dansoszeis bold or cautious? (Answer EXACTLY ONE WORD)
A:"
SAME_Q_pair3,SAME,Q,pair3,tregeilnel,dansoszeis,complex,simple,attribute_word,"Definitions:
- tregeilnel: something that is bold and complex
- dansoszeis is the same as tregeilnel

Q: Is dansoszeis complex or simple? (Answer EXACTLY ONE WORD)
A:"
OPP_Q_pair3,OPP,Q,pair3,tregeilnel,dansoszeis,simple,complex,attribute_word,"Definitions:
- tregeilnel: something that is bold and complex
- dansoszeis is the opposite of tregeilnel

Q: Is dansoszeis complex or simple? (Answer EXACTLY ONE WORD)
A:"
MORE_P_pair3,MORE,P,pair3,tregeilnel,dansoszeis,dansoszeis,tregeilnel,novel_word,"Definitions:
- tregeilnel: something that is bold and complex
- dansoszeis is more/greater than tregeilnel in all respects

Q: Which is more bold, tregeilnel or dansoszeis? (Answer EXACTLY ONE WORD)
A:"
LESS_P_pair3,LESS,P,pair3,tregeilnel,dansoszeis,tregeilnel,dansoszeis,novel_word,"Definitions:
- tregeilnel: something that is bold and complex
- dansoszeis is less/smaller than tregeilnel in all respects

Q: Which is more bold, tregeilnel or dansoszeis? (Answer EXACTLY ONE WORD)
A:"
MORE_Q_pair3,MORE,Q,pair3,tregeilnel,dansoszeis,dansoszeis,tregeilnel,novel_word,"Definitions:
- tregeilnel: something that is bold and complex
- dansoszeis is more/greater than tregeilnel in all respects

Q: Which is more complex, tregeilnel or dansoszeis? (Answer EXACTLY ONE WORD)
A:"
LESS_Q_pair3,LESS,Q,pair3,tregeilnel,dansoszeis,tregeilnel,dansoszeis,novel_word,"Definitions:
- tregeilnel: something that is bold and complex
- dansoszeis is less/smaller than tregeilnel in all respects

Q: Which is more complex, tregeilnel or dansoszeis? (Answer EXACTLY ONE WORD)
A:"
SAME_P_pair4,SAME,P,pair4,besbonfer,painrikai,bold,cautious,attribute_word,"Definitions:
- besbonfer: something that is bold and complex
- painrikai is the same as besbonfer

Q: Is painrikai bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair4,OPP,P,pair4,besbonfer,painrikai,cautious,bold,attribute_word,"Definitions:
- besbonfer: something that is bold and complex
- painrikai is the opposite of besbonfer

Q: Is painrikai bold or cautious? (Answer EXACTLY ONE WORD)
A:"
