trial_id,crel,attr_dim,pair_id,word_a,word_b,correct_answer,incorrect_answer,correct_first_subtoken_id,incorrect_first_subtoken_id,answer_type,prompt
SAME_P_pair0,SAME,P,pair0,girlatrei,sonsaprom,bold,cautious,13939,45778,attribute_word,"Definitions:
- girlatrei: something that is bold and complex
- sonsaprom is the same as girlatrei

Q: Is sonsaprom bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair0,OPP,P,pair0,girlatrei,sonsaprom,cautious,bold,45778,13939,attribute_word,"Definitions:
- girlatrei: something that is bold and complex
- sonsaprom is the opposite of girlatrei

Q: Is sonsaprom bold or cautious? (Answer EXACTLY ONE WORD)
A:"
SAME_Q_pair0,SAME,Q,pair0,girlatrei,sonsaprom,complex,simple,6351,4285,attribute_word,"Definitions:
- girlatrei: something that is bold and complex
- sonsaprom is the same as girlatrei

Q: Is sonsaprom complex or simple? (Answer EXACTLY ONE WORD)
A:"
OPP_Q_pair0,OPP,Q,pair0,girlatrei,sonsaprom,simple,complex,4285,6351,attribute_word,"Definitions:
- girlatrei: something that is bold and complex
- sonsaprom is the opposite of girlatrei

Q: Is sonsaprom complex or simple? (Answer EXACTLY ONE WORD)
A:"
MORE_P_pair0,MORE,P,pair0,girlatrei,sonsaprom,sonsaprom,girlatrei,25350,3743,novel_word,"Definitions:
- girlatrei: something that is bold and complex
- sonsaprom is more/greater than girlatrei in all respects

Q: Which is more bold, girlatrei or sonsaprom? (Answer EXACTLY ONE WORD)
A:"
LESS_P_pair0,LESS,P,pair0,girlatrei,sonsaprom,girlatrei,sonsaprom,3743,25350,novel_word,"Definitions:
- girlatrei: something that is bold and complex
- sonsaprom is less/smaller than girlatrei in all respects

Q: Which is more bold, girlatrei or sonsaprom? (Answer EXACTLY ONE WORD)
A:"
MORE_Q_pair0,MORE,Q,pair0,girlatrei,sonsaprom,sonsaprom,girlatrei,25350,3743,novel_word,"Definitions:
- girlatrei: something that is bold and complex
- sonsaprom is more/greater than girlatrei in all respects

Q: Which is more complex, girlatrei or sonsaprom? (Answer EXACTLY ONE WORD)
A:"
LESS_Q_pair0,LESS,Q,pair0,girlatrei,sonsaprom,girlatrei,sonsaprom,3743,25350,novel_word,"Definitions:
- girlatrei: something that is bold and complex
- sonsaprom is less/smaller than girlatrei in all respects

Q: Which is more complex, girlatrei or sonsaprom? (Answer EXACTLY ONE WORD)
A:"
SAME_P_pair1,SAME,P,pair1,kesfeisslem,sourmugrat,bold,cautious,13939,45778,attribute_word,"Definitions:
- kesfeisslem: something that is bold and complex
- sourmugrat is the same as kesfeisslem

Q: Is sourmugrat bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair1,OPP,P,pair1,kesfeisslem,sourmugrat,cautious,bold,45778,13939,attribute_word,"Definitions:
- kesfeisslem: something that is bold and complex
- sourmugrat is the opposite of kesfeisslem

Q: Is sourmugrat bold or cautious? (Answer EXACTLY ONE WORD)
A:"
SAME_Q_pair1,SAME,Q,pair1,kesfeisslem,sourmugrat,complex,simple,6351,4285,attribute_word,"Definitions:
- kesfeisslem: something that is bold and complex
- sourmugrat is the same as kesfeisslem

Q: Is sourmugrat complex or simple? (Answer EXACTLY ONE WORD)
A:"
OPP_Q_pair1,OPP,Q,pair1,kesfeisslem,sourmugrat,simple,complex,4285,6351,attribute_word,"Definitions:
- kesfeisslem: something that is bold and complex
- sourmugrat is the opposite of kesfeisslem

Q: Is sourmugrat complex or simple? (Answer EXACTLY ONE WORD)
A:"
MORE_P_pair1,MORE,P,pair1,kesfeisslem,sourmugrat,sourmugrat,kesfeisslem,20282,50977,novel_word,"Definitions:
- kesfeisslem: something that is bold and complex
- sourmugrat is more/greater than kesfeisslem in all respects

Q: Which is more bold, kesfeisslem or sourmugrat? (Answer EXACTLY ONE WORD)
A:"
LESS_P_pair1,LESS,P,pair1,kesfeisslem,sourmugrat,kesfeisslem,sourmugrat,50977,20282,novel_word,"Definitions:
- kesfeisslem: something that is bold and complex
- sourmugrat is less/smaller than kesfeisslem in all respects

Q: Which is more bold, kesfeisslem or sourmugrat? (Answer EXACTLY ONE WORD)
A:"
MORE_Q_pair1,MORE,Q,pair1,kesfeisslem,sourmugrat,sourmugrat,kesfeisslem,20282,50977,novel_word,"Definitions:
- kesfeisslem: something that is bold and complex
- sourmugrat is more/greater than kesfeisslem in all respects

Q: Which is more complex, kesfeisslem or sourmugrat? (Answer EXACTLY ONE WORD)
A:"
LESS_Q_pair1,LESS,Q,pair1,kesfeisslem,sourmugrat,kesfeisslem,sourmugrat,50977,20282,novel_word,"Definitions:
- kesfeisslem: something that is bold and complex
- sourmugrat is less/smaller than kesfeisslem in all respects

Q: Which is more complex, kesfeisslem or sourmugrat? (Answer EXACTLY ONE WORD)
A:"
SAME_P_pair2,SAME,P,pair2,braszeintok,kirzelplom,bold,cautious,13939,45778,attribute_word,"Definitions:
- braszeintok: something that is bold and complex
- kirzelplom is the same as braszeintok

Q: Is kirzelplom bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair2,OPP,P,pair2,braszeintok,kirzelplom,cautious,bold,45778,13939,attribute_word,"Definitions:
- braszeintok: something that is bold and complex
- kirzelplom is the opposite of braszeintok

Q: Is kirzelplom bold or cautious? (Answer EXACTLY ONE WORD)
A:"
SAME_Q_pair2,SAME,Q,pair2,braszeintok,kirzelplom,complex,simple,6351,4285,attribute_word,"Definitions:
- braszeintok: something that is bold and complex
- kirzelplom is the same as braszeintok

Q: Is kirzelplom complex or simple? (Answer EXACTLY ONE WORD)
A:"
