trial_id,crel,attr_dim,pair_id,word_a,word_b,correct_answer,incorrect_answer,correct_first_subtoken_id,incorrect_first_subtoken_id,answer_type,prompt
SAME_P_pair0,SAME,P,pair0,spesluskru,gonmaisprel,bold,cautious,16627,50799,attribute_word,"Definitions:
- spesluskru: something that is bold and complex
- gonmaisprel is the same as spesluskru

Q: Is gonmaisprel bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair0,OPP,P,pair0,spesluskru,gonmaisprel,cautious,bold,50799,16627,attribute_word,"Definitions:
- spesluskru: something that is bold and complex
- gonmaisprel is the opposite of spesluskru

Q: Is gonmaisprel bold or cautious? (Answer EXACTLY ONE WORD)
A:"
SAME_Q_pair0,SAME,Q,pair0,spesluskru,gonmaisprel,complex,simple,3996,3606,attribute_word,"Definitions:
- spesluskru: something that is bold and complex
- gonmaisprel is the same as spesluskru

Q: Is gonmaisprel complex or simple? (Answer EXACTLY ONE WORD)
A:"
OPP_Q_pair0,OPP,Q,pair0,spesluskru,gonmaisprel,simple,complex,3606,3996,attribute_word,"Definitions:
- spesluskru: something that is bold and complex
- gonmaisprel is the opposite of spesluskru

Q: Is gonmaisprel complex or simple? (Answer EXACTLY ONE WORD)
A:"
MORE_P_pair0,MORE,P,pair0,spesluskru,gonmaisprel,gonmaisprel,spesluskru,41221,58316,novel_word,"Definitions:
- spesluskru: something that is bold and complex
- gonmaisprel is more/greater than spesluskru in all respects

Q: Which is more bold, spesluskru or gonmaisprel? (Answer EXACTLY ONE WORD)
A:"
LESS_P_pair0,LESS,P,pair0,spesluskru,gonmaisprel,spesluskru,gonmaisprel,58316,41221,novel_word,"Definitions:
- spesluskru: something that is bold and complex
- gonmaisprel is less/smaller than spesluskru in all respects

Q: Which is more bold, spesluskru or gonmaisprel? (Answer EXACTLY ONE WORD)
A:"
MORE_Q_pair0,MORE,Q,pair0,spesluskru,gonmaisprel,gonmaisprel,spesluskru,41221,58316,novel_word,"Definitions:
- spesluskru: something that is bold and complex
- gonmaisprel is more/greater than spesluskru in all respects

Q: Which is more complex, spesluskru or gonmaisprel? (Answer EXACTLY ONE WORD)
A:"
LESS_Q_pair0,LESS,Q,pair0,spesluskru,gonmaisprel,spesluskru,gonmaisprel,58316,41221,novel_word,"Definitions:
- spesluskru: something that is bold and complex
- gonmaisprel is less/smaller than spesluskru in all respects

Q: Which is more complex, spesluskru or gonmaisprel? (Answer EXACTLY ONE WORD)
A:"
SAME_P_pair1,SAME,P,pair1,tesflurfait,gurpuskaim,bold,cautious,16627,50799,attribute_word,"Definitions:
- tesflurfait: something that is bold and complex
- gurpuskaim is the same as tesflurfait

Q: Is gurpuskaim bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair1,OPP,P,pair1,tesflurfait,gurpuskaim,cautious,bold,50799,16627,attribute_word,"Definitions:
- tesflurfait: something that is bold and complex
- gurpuskaim is the opposite of tesflurfait

Q: Is gurpuskaim bold or cautious? (Answer EXACTLY ONE WORD)
A:"
