trial_id,layer,head,clean_target_logit,patched_target_logit,delta_target_logit
P101_10027,0,0,12.0625,12.125,0.0625
P101_10027,0,1,12.0625,12.0625,0.0
P101_10027,0,2,12.0625,12.0625,0.0
P101_10027,0,3,12.0625,12.0625,0.0
P101_10027,0,4,12.0625,12.0625,0.0
P101_10027,0,5,12.0625,12.0625,0.0
P101_10027,0,6,12.0625,12.0625,0.0
P101_10027,0,7,12.0625,12.125,0.0625
P101_10027,0,8,12.0625,12.0625,0.0
P101_10027,0,9,12.0625,12.0625,0.0
P101_10027,0,10,12.0625,12.0625,0.0
P101_10027,0,11,12.0625,12.0625,0.0
P101_10027,0,12,12.0625,12.0625,0.0
P101_10027,0,13,12.0625,12.0625,0.0
P101_10027,0,14,12.0625,12.125,0.0625
P101_10027,0,15,12.0625,12.0625,0.0
P101_10027,0,16,12.0625,12.125,0.0625
P101_10027,0,17,12.0625,12.125,0.0625
P101_10027,0,18,12.0625,12.0625,0.0
P101_10027,0,19,12.0625,12.125,0.0625
P101_10027,0,20,12.0625,12.0625,0.0
P101_10027,0,21,12.0625,12.0625,0.0
P101_10027,0,22,12.0625,12.0625,0.0
P101_10027,0,23,12.0625,12.0625,0.0
P101_10027,0,24,12.0625,12.0625,0.0
P101_10027,0,25,12.0625,12.0625,0.0
P101_10027,0,26,12.0625,12.0625,0.0
P101_10027,0,27,12.0625,12.0625,0.0
P101_10027,0,28,12.0625,12.0625,0.0
P101_10027,0,29,12.0625,12.125,0.0625
P101_10027,0,30,12.0625,12.0625,0.0
P101_10027,0,31,12.0625,12.125,0.0625
P101_10027,0,32,12.0625,12.125,0.0625
P101_10027,0,33,12.0625,12.0625,0.0
P101_10027,0,34,12.0625,12.0625,0.0
P101_10027,0,35,12.0625,12.0625,0.0
P101_10027,0,36,12.0625,12.125,0.0625
P101_10027,0,37,12.0625,12.125,0.0625
P101_10027,0,38,12.0625,12.0625,0.0
P101_10027,0,39,12.0625,12.125,0.0625
P101_10027,0,40,12.0625,12.125,0.0625
P101_10027,0,41,12.0625,12.0625,0.0
P101_10027,0,42,12.0625,12.0625,0.0
P101_10027,0,43,12.0625,12.0625,0.0
P101_10027,0,44,12.0625,12.0625,0.0
P101_10027,0,45,12.0625,12.125,0.0625
P101_10027,0,46,12.0625,12.0625,0.0
P101_10027,0,47,12.0625,12.125,0.0625
P101_10027,0,48,12.0625,12.0625,0.0
P101_10027,0,49,12.0625,12.0625,0.0
P101_10027,0,50,12.0625,12.0625,0.0
P101_10027,0,51,12.0625,12.0625,0.0
P101_10027,0,52,12.0625,12.0625,0.0
P101_10027,0,53,12.0625,12.0625,0.0
P101_10027,0,54,12.0625,12.125,0.0625
P101_10027,0,55,12.0625,12.125,0.0625
P101_10027,0,56,12.0625,12.0625,0.0
P101_10027,0,57,12.0625,12.125,0.0625
P101_10027,0,58,12.0625,12.0625,0.0
P101_10027,0,59,12.0625,12.0625,0.0
P101_10027,0,60,12.0625,12.125,0.0625
P101_10027,0,61,12.0625,12.125,0.0625
P101_10027,0,62,12.0625,12.125,0.0625
P101_10027,0,63,12.0625,12.125,0.0625
P101_10027,1,0,12.0625,12.0625,0.0
P101_10027,1,1,12.0625,12.0625,0.0
P101_10027,1,2,12.0625,12.0625,0.0
P101_10027,1,3,12.0625,12.0625,0.0
P101_10027,1,4,12.0625,12.0625,0.0
P101_10027,1,5,12.0625,12.125,0.0625
P101_10027,1,6,12.0625,12.0625,0.0
P101_10027,1,7,12.0625,12.0625,0.0
P101_10027,1,8,12.0625,12.0625,0.0
P101_10027,1,9,12.0625,12.0625,0.0
P101_10027,1,10,12.0625,12.0625,0.0
P101_10027,1,11,12.0625,12.125,0.0625
P101_10027,1,12,12.0625,12.125,0.0625
P101_10027,1,13,12.0625,12.125,0.0625
P101_10027,1,14,12.0625,12.125,0.0625
P101_10027,1,15,12.0625,12.125,0.0625
P101_10027,1,16,12.0625,12.0,-0.0625
P101_10027,1,17,12.0625,12.0625,0.0
P101_10027,1,18,12.0625,11.9375,-0.125
P101_10027,1,19,12.0625,12.0625,0.0
P101_10027,1,20,12.0625,12.0625,0.0
P101_10027,1,21,12.0625,12.1875,0.125
P101_10027,1,22,12.0625,12.125,0.0625
P101_10027,1,23,12.0625,12.0625,0.0
P101_10027,1,24,12.0625,12.0625,0.0
P101_10027,1,25,12.0625,12.125,0.0625
P101_10027,1,26,12.0625,12.125,0.0625
P101_10027,1,27,12.0625,12.0625,0.0
P101_10027,1,28,12.0625,12.0625,0.0
P101_10027,1,29,12.0625,12.125,0.0625
P101_10027,1,30,12.0625,12.0625,0.0
P101_10027,1,31,12.0625,12.125,0.0625
P101_10027,1,32,12.0625,12.0625,0.0
P101_10027,1,33,12.0625,12.125,0.0625
P101_10027,1,34,12.0625,12.125,0.0625
P101_10027,1,35,12.0625,12.125,0.0625
P101_10027,1,36,12.0625,12.125,0.0625
P101_10027,1,37,12.0625,12.0625,0.0
P101_10027,1,38,12.0625,12.125,0.0625
P101_10027,1,39,12.0625,12.125,0.0625
P101_10027,1,40,12.0625,12.0625,0.0
P101_10027,1,41,12.0625,12.125,0.0625
P101_10027,1,42,12.0625,12.0625,0.0
P101_10027,1,43,12.0625,12.0625,0.0
P101_10027,1,44,12.0625,12.125,0.0625
P101_10027,1,45,12.0625,12.125,0.0625
P101_10027,1,46,12.0625,12.0625,0.0
P101_10027,1,47,12.0625,12.125,0.0625
P101_10027,1,48,12.0625,12.0625,0.0
P101_10027,1,49,12.0625,12.0625,0.0
P101_10027,1,50,12.0625,12.0625,0.0
P101_10027,1,51,12.0625,12.0625,0.0
P101_10027,1,52,12.0625,12.0,-0.0625
P101_10027,1,53,12.0625,12.0625,0.0
P101_10027,1,54,12.0625,12.0625,0.0
P101_10027,1,55,12.0625,12.125,0.0625
P101_10027,1,56,12.0625,12.125,0.0625
P101_10027,1,57,12.0625,12.125,0.0625
